method,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,accuracy_mean,accuracy_std,n_seeds
IsolationForest,0.8982069649998013,0.014057652770427245,0.9670807453416149,0.016333816085561916,0.9311285082985628,0.0014487213250878102,0.935277202668507,0.0068411913500688775,0.9103761348897536,0.002474550457631497,5
OneClassSVM,0.993785070064044,0.0017105547433798282,0.9921325051759835,0.002823640102895631,0.992953548975887,0.0009704269911457684,0.9971977800782147,0.0014822294398401908,0.9911802853437095,0.0012028039553172078,5
LocalOutlierFactor,0.6264591439688716,0.0,1.0,0.0,0.7703349282296651,0.0,0.394085720036807,0.007072492573472729,0.6264591439688716,0.0,5
ZscoreMax,0.9858157016785498,0.003193285821359853,0.9915113871635611,0.0030287243971693326,0.9886460639282767,0.0007243682184885085,0.9966478318380492,0.0018110472530343132,0.9857328145265889,0.0009171294178813813,5
CKDI_thresholded,0.9937796005075663,0.002857297134823847,0.727536231884058,0.017364170887173305,0.8399515015963945,0.011762302186536018,0.7578423337934208,0.015554443251218172,0.8264591439688717,0.011040653667979464,5
